Año;Mes;Dia; Hora
2020;10;12;13-14-18
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-2;-1;-1;0;-1;-1;-3;-1;
1;-2;0;-3;-7;2;-1;0;
-1;0;0;3;7;1;1;0;
-3;-2;0;-2;-4;-2;-1;-1;
-1;-1;-1;-3;2;-1;-1;-3;
0;-1;-3;-4;-5;-3;-2;-3;
-1;-2;-2;-3;-1;-2;1;0;
-1;1;0;1;3;1;0;-1;
-3;-3;-2;-4;-8;-2;-2;1;
-1;-2;-1;0;0;-1;1;0;
-2;-2;1;-1;-3;0;-2;-1;
1;-2;-2;0;3;-1;0;1;
-1;-2;-3;-2;-3;-1;-1;0;
-2;-1;1;0;3;0;-1;-2;
1;0;-2;-3;-4;-2;0;1;
-1;-2;0;-2;-3;0;-1;-1;
1;0;-2;-1;-4;-1;0;0;
-2;-2;-1;-1;-1;-1;-2;0;
0;-1;-2;-3;-5;-1;-1;0;
0;0;-2;-2;1;0;0;-1;
-2;-2;2;-1;-4;0;-2;-2;
1;0;0;0;3;-1;1;0;
-2;-1;0;-2;-1;-2;-1;0;
-1;-2;-1;-3;-1;-1;0;-1;
0;-1;-1;-1;2;1;0;0;
-2;0;-1;1;0;-2;-3;-2;
-1;0;-1;-2;-2;-2;-2;-2;
-1;-1;0;0;-3;0;0;1;
-2;-1;-2;0;1;-1;1;-1;
-1;-2;-2;-3;-2;-1;-2;0;
0;1;0;1;1;-2;-2;0;
-1;0;0;0;-1;-1;-1;-2;
-1;0;-2;-1;-1;-2;-2;-2;
-2;-1;-2;-3;-3;-1;1;-1;
0;0;-1;0;-2;1;-1;-2;
-2;-3;-2;-3;-4;-2;0;-3;
0;0;1;0;3;-1;-1;0;
-1;-3;-2;-3;0;0;-2;-1;
-2;0;-3;-3;-4;-3;-1;-1;
-2;1;-2;1;-2;-2;-1;-4;
-2;0;0;0;0;-1;-1;-3;
-1;-1;0;2;3;0;-1;-3;
0;0;-1;-1;1;-2;-3;0;
0;2;1;0;-2;-1;0;0;
-1;-1;0;2;0;-1;-2;-3;
0;-2;-2;-2;-3;1;1;0;
-2;-2;-3;0;4;1;1;-1;
-3;-2;0;0;0;-1;1;0;
-3;-1;-1;-1;-1;0;-2;0;
0;-1;-1;-3;-2;0;1;-1;
-1;-1;0;-2;-4;-1;-1;0;
2;0;0;3;11;1;1;-2;
1;-1;1;2;2;-1;-1;0;
-1;-1;-1;0;1;0;-1;-2;
1;-1;2;-1;-3;0;0;0;
-1;-2;-3;-3;-5;-1;-1;0;
-1;-1;-1;-4;-4;-1;0;-2;
0;-1;-1;1;2;0;-1;-1;
0;-1;0;1;-1;-1;-1;-1;
-1;-2;-1;-3;0;-1;1;0;
-2;-2;1;1;1;0;-1;-3;
-2;-2;0;0;-1;-1;-2;0;
-1;-1;-2;-4;-6;0;0;-2;
-2;1;-3;-2;-1;-3;-2;-2;
0;0;-2;-1;0;-2;1;-1;
0;-1;-2;-2;-2;-3;-1;-1;
-1;-1;-2;-1;-1;-1;-1;1;
1;-2;-1;0;1;1;1;0;
-1;0;-1;-1;-3;1;-3;-3;
1;-2;1;3;4;-1;-2;0;
-1;-2;-2;-6;-8;-2;-2;-2;
-3;-3;-1;-2;-2;-2;-1;-1;
1;-3;-2;-4;-5;-2;1;2;
-1;0;-1;0;2;-2;0;-1;
0;-2;-1;1;2;1;0;-1;
-1;-1;-2;-2;-1;-2;-3;-1;
0;-1;1;-2;1;-1;0;-2;
-3;0;-2;1;1;0;-2;-1;
-2;-1;-1;0;0;0;-2;-1;
1;-1;-1;-3;-4;0;1;0;
-1;-1;-2;-1;-4;-2;-2;0;
-1;-2;-2;0;0;-1;-1;-1;
-1;-1;0;0;-2;-4;0;-4;
0;-2;-3;-5;-5;-3;-1;0;
0;3;3;11;18;2;0;0;
-1;-1;-1;-5;-11;-2;-1;-1;
-3;-2;0;-1;-1;1;-2;0;
-1;-1;-3;-4;-6;-2;0;-1;
-2;0;0;-3;-5;-2;1;-2;
0;-2;-2;0;3;-1;0;-1;
-1;0;-1;-1;1;0;-1;-4;
-1;-1;-2;1;0;0;-2;-2;
0;0;0;-1;-6;0;-1;-1;
0;-1;-2;2;4;0;-2;-2;
0;2;0;-1;2;1;-1;0;
-1;-1;-6;-2;0;-2;-2;-2;
0;-1;-1;-2;-4;1;-1;0;
-1;-1;0;-3;-3;-3;-1;1;
-2;1;0;3;6;1;-1;0;
-1;-1;0;-6;-8;-2;0;1;
0;-1;1;2;2;-2;-1;-2;
0;-3;-1;-2;-3;-1;-2;0;
-1;-1;0;-2;-1;-1;0;-1;
-3;-2;-1;-3;-3;-1;-3;-3;
-2;-2;-2;0;1;-3;-1;0;
-1;-2;-3;-1;-2;0;-1;0;
0;-1;-3;-2;-2;-2;-3;0;
-2;-1;-1;0;-2;-1;0;0;
0;1;-1;-1;1;0;-2;-1;
-1;-4;-2;0;-3;0;0;-1;
-1;-1;-1;-2;1;0;-1;1;
-1;-2;-1;-2;1;-1;-1;-1;
0;0;-4;-5;-8;-2;-1;0;
-2;0;0;0;-2;-1;-1;-2;
0;-2;0;5;10;1;1;0;
0;-2;0;-4;-7;1;0;-1;
0;0;-3;1;1;-1;2;0;
-1;-1;-2;-3;-5;-1;-3;-2;
-1;0;0;1;-3;0;0;-1;
-1;0;-1;0;-2;0;1;0;
-1;-1;-2;0;2;-2;-1;-1;
-3;-3;-3;-1;-2;-2;-2;-1;
0;-3;-1;-2;-2;0;-2;-1;
0;-2;-2;1;1;-1;-2;-1;
0;0;1;0;-1;1;-1;-1;
0;-2;-1;2;1;0;1;-1;
-1;0;-2;-2;-3;-2;-1;-1;
-1;-1;-2;-2;-5;-1;-2;-1;
-2;0;0;1;2;-1;-4;0;
-2;-1;0;1;-1;0;0;0;
-1;-2;-2;-3;-2;-1;0;-1;
-2;1;-1;-1;0;-2;0;-1;
-3;-2;0;1;2;1;-2;-2;
-2;1;-1;0;0;0;-1;-1;
-1;-1;-2;-1;-3;-1;-1;-1;
-1;-1;-1;-2;-1;-2;-2;-1;
1;-1;-1;-2;-1;-1;-1;0;
-1;-1;-4;-4;-4;-3;1;1;
0;-3;1;1;2;-1;-1;-1;
-1;-2;-2;-3;-4;-1;-1;-2;
1;1;-1;0;1;0;0;0;
0;0;0;1;0;2;0;0;
0;-1;-2;-2;-3;0;-2;-1;
0;-1;1;1;0;0;-2;-2;
-2;-2;-3;-4;-4;-2;-1;0;
-1;-2;1;-1;-2;-2;-3;-1;
0;-1;-2;-3;-1;-2;0;-2;
0;0;-2;-3;-2;-4;-1;0;
1;1;0;-1;0;-1;0;0;
-2;0;-2;-2;-2;0;-1;-3;
-1;-2;-1;0;1;2;0;0;
-1;0;-3;2;1;0;0;-1;
0;0;-2;-2;0;-1;-1;-2;
-1;-2;-2;-1;-2;-1;1;-1;
-1;-1;-1;-1;-2;-1;-2;0;
0;-1;-1;0;1;2;0;-1;
-2;0;1;2;-1;-2;0;-1;
0;0;-2;-2;-4;-2;0;0;
-3;-2;-1;-1;1;0;-2;1;
0;0;0;-2;-5;-1;-1;1;
-2;-1;0;1;0;1;-1;1;
-1;0;-1;-3;0;-1;0;-1;
-2;-2;-1;-4;-6;-4;-1;-2;
-1;0;1;6;13;3;-1;-2;
-3;-3;-2;-1;-4;-2;-2;-2;
0;0;0;-1;-1;1;0;1;
-1;-2;-2;-1;-2;-2;0;0;
0;-1;-1;-2;-3;-2;1;-2;
-1;-2;-2;-2;1;0;-3;-2;
0;-1;0;2;1;0;1;-1;
0;0;-1;-1;0;1;0;0;
0;0;-1;-2;-2;-2;-1;1;
1;-1;-1;-2;-4;0;-1;-1;
-2;-2;-1;2;3;-3;-2;-1;
0;-1;-1;-1;-2;-2;-2;-1;
-2;-2;-2;-2;-3;-2;-1;1;
-2;-4;0;-1;0;-1;-3;-2;
-1;0;-2;-1;1;1;0;-3;
1;-1;-3;-3;-4;-4;-1;-1;
-1;0;0;0;4;-1;-2;0;
-1;0;0;-1;-5;-1;0;-3;
-3;-1;-1;-1;1;0;-1;0;
-1;-1;-2;-2;-4;-1;-1;0;
0;-2;-3;-2;-2;-2;1;2;
-2;0;0;-2;-2;-2;-1;0;
-1;0;1;6;6;1;-1;-1;
-1;0;0;-3;-3;-2;-1;0;
0;0;-2;0;-2;-1;0;0;
2;-1;-4;-4;-5;-1;-1;1;
0;-3;-2;-1;-3;-3;-1;-4;
