Año;Mes;Dia; Hora
2020;09;12;16-51-24
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;-1;-1;-2;-3;-1;-3;-2;
0;2;2;4;1;1;1;1;
-5;-4;-5;-4;-1;-4;-4;-3;
-1;-1;3;5;3;2;0;-1;
4;1;-4;-6;-1;1;-2;1;
-3;-3;6;5;1;3;3;-3;
1;-3;-5;-2;-1;-1;0;0;
-2;1;2;1;-1;-1;1;-1;
-4;-6;-2;-3;-3;-1;-1;-3;
-2;-2;-1;-1;0;-1;-1;-1;
-3;-2;-5;-6;-2;-2;-3;0;
3;3;3;4;4;3;0;0;
-2;-3;2;1;-1;-1;0;0;
0;1;-5;-8;-3;-2;0;1;
4;6;0;1;-2;-2;-1;1;
-4;-5;0;1;0;-1;-1;-2;
-4;-3;0;2;-1;-2;-2;-5;
0;-3;-3;-2;-2;-4;-1;0;
2;2;-1;-3;-3;-2;-1;0;
-3;-3;-3;-2;-2;-3;-3;-3;
1;1;0;0;-1;-2;1;0;
-3;-3;-2;0;-1;-1;-1;-1;
3;-2;-3;-1;-1;0;0;0;
0;0;-3;-1;0;2;0;0;
-4;-3;-4;-1;-1;-3;-4;-1;
0;0;0;-1;-2;-2;-1;-3;
0;-3;0;6;0;1;1;-1;
0;3;0;-3;-1;-4;-2;-1;
-2;0;-2;-4;-4;-2;-1;0;
0;-5;0;-1;-1;4;2;0;
-4;-5;-4;-6;-3;-1;-1;-3;
0;2;5;6;1;-1;-1;0;
-6;0;-3;-1;-2;-3;-3;-6;
3;6;5;4;1;1;-1;1;
-4;-3;-2;0;0;1;1;-1;
0;-6;-10;-9;-5;-2;1;0;
1;0;7;4;2;0;-3;0;
-2;-1;-1;1;0;1;2;-1;
-1;1;1;0;-1;-1;-2;0;
0;1;-2;-4;-1;0;-1;-1;
1;-1;-2;0;-1;0;-1;1;
-2;0;-3;-2;-4;-6;-2;-1;
-2;0;-2;-2;-2;0;-2;0;
-1;-3;-3;1;3;5;1;-3;
3;0;-4;-6;-1;2;0;-1;
1;1;1;2;0;-3;-2;-2;
-3;-5;-1;-2;1;-2;-1;-2;
-1;1;-2;-5;-6;-3;-2;-2;
-1;-3;0;0;0;0;1;-1;
-1;0;-1;1;-1;3;-1;-1;
-1;-2;-3;-3;-2;-2;1;0;
4;4;9;13;4;0;1;2;
-6;-2;-6;-6;-4;-4;-2;-2;
0;0;4;2;0;0;-2;0;
-3;-1;0;0;-2;0;0;-1;
5;3;-10;-15;-6;-1;0;1;
-1;0;8;8;1;0;-2;-1;
0;-2;-1;1;-1;-4;-2;-1;
-5;1;4;7;0;0;1;-3;
-4;-6;-1;-2;-4;-2;-1;-2;
1;1;-3;-4;-3;-1;-2;1;
-6;-4;-2;-4;1;2;-2;-1;
4;0;1;-1;1;-1;1;2;
2;5;2;-1;0;0;-1;-1;
-4;-4;-3;0;-1;-1;-1;-1;
-1;-1;-1;-1;-2;-2;0;0;
3;2;-4;-6;-4;-1;-2;1;
-9;-8;2;10;4;-1;-1;-3;
6;4;2;1;0;-1;-2;-1;
-3;-4;-1;-2;0;-2;-1;-2;
-2;-4;-1;1;0;0;0;0;
-1;-1;-2;-5;-3;1;0;0;
-1;1;-4;-4;-1;1;0;-1;
0;-2;0;0;0;0;0;-3;
0;-2;-2;-2;-4;-5;-4;-1;
-2;-1;-3;1;1;-3;0;-1;
-5;-5;-6;-3;3;1;-1;-1;
2;-1;-7;-5;-3;1;1;0;
-6;-1;3;3;1;-3;-1;-2;
-3;-3;-4;-5;-2;-1;-2;-3;
1;3;1;1;-1;-2;-2;1;
1;1;-3;-2;-2;-2;-1;1;
0;-2;-2;2;1;4;0;0;
0;0;0;2;0;-2;-2;-2;
-3;-5;-1;-6;-3;-3;-2;-3;
4;3;0;0;-1;-1;0;3;
-8;-2;1;0;-1;-2;-1;-5;
0;-1;-1;-2;-1;0;-1;1;
0;-3;-4;-4;-2;-1;-1;0;
-8;-9;-8;-9;-3;-5;-4;-4;
9;9;4;4;3;5;2;3;
-3;-5;2;3;0;0;-2;0;
0;0;-1;-2;-3;0;0;-1;
-1;1;3;3;0;-1;-1;-2;
-2;-2;0;-3;-2;-4;-3;0;
4;5;-4;-6;-2;-2;-1;0;
-3;-3;0;-1;1;-2;0;0;
0;1;0;0;-2;-1;0;-2;
-2;-4;-1;-3;-2;-2;-2;0;
-2;-1;0;-1;0;0;-1;0;
0;0;-4;-2;-2;-4;-5;-2;
-4;-3;-2;-1;-1;0;2;1;
-4;-7;-4;-3;-2;-1;-1;0;
0;2;-2;-6;-3;-4;-2;-2;
-2;-3;1;5;-1;-6;-5;-2;
-1;1;-1;0;2;4;0;-1;
3;5;-1;-6;-2;-2;-1;-3;
-1;-1;0;4;1;1;0;0;
1;2;1;1;2;0;-1;-1;
-4;-6;-4;0;-3;-3;-2;-1;
1;1;-2;-2;-2;0;-2;-1;
-2;-3;-1;-2;-1;-1;-1;0;
-2;1;0;0;2;0;-3;-2;
3;-1;0;4;0;1;0;0;
-6;-8;-1;2;-3;0;1;-2;
0;-1;0;1;0;-1;-1;-1;
2;2;-4;-5;-3;-2;1;-1;
-6;-10;-4;-2;-1;-1;-3;-1;
1;1;3;1;0;-3;-4;-1;
-2;-4;-2;-1;-2;0;4;0;
2;1;2;0;0;1;-1;0;
2;0;-3;-5;-3;1;0;-2;
-1;2;-1;-2;-3;-2;-3;-2;
-1;-5;-2;-3;-3;-3;-2;-2;
3;4;0;0;-1;0;-2;-1;
-9;-3;1;2;1;3;2;-4;
3;2;-3;-4;-1;-1;1;-1;
-2;-2;0;0;-2;-2;-1;0;
1;1;1;-2;-2;0;0;1;
0;0;-4;-6;-5;-7;-4;0;
-5;-5;-8;-4;-2;-1;-2;-1;
1;6;3;4;1;0;-3;-1;
1;-3;1;0;1;3;-1;-1;
0;-1;-1;-2;-2;-3;-2;0;
0;-1;4;4;-1;-3;-1;0;
0;-1;-2;-2;-2;-1;0;0;
-2;-3;-4;-4;-2;-1;-1;-1;
0;-3;-1;0;-1;-1;2;-1;
0;4;0;3;2;0;1;0;
-1;-4;1;2;-1;-2;-1;-2;
1;2;-2;-1;2;4;-1;1;
1;-2;-6;-9;-3;-3;-3;1;
2;3;4;4;-1;-1;1;0;
-1;-2;8;10;5;0;-1;-3;
-4;-1;-1;1;0;-3;-1;-2;
0;0;-2;-4;-2;-2;0;0;
-2;-3;-1;0;0;0;-1;-2;
-1;1;-2;-5;-3;0;-2;0;
-2;-4;-1;-1;-1;-2;1;1;
0;-1;-2;-2;-1;1;1;-2;
-2;-3;0;2;1;0;-2;0;
-1;-1;-3;-2;-4;0;-1;0;
-4;-4;0;3;0;-4;-3;-4;
2;4;4;3;1;0;4;2;
-5;-5;-4;-5;-3;-1;-1;-1;
-2;-4;-5;-5;-2;0;-1;-1;
0;5;5;7;1;0;-1;1;
0;-1;-1;-2;0;-1;0;0;
-2;1;-1;2;0;0;0;-1;
-2;-2;-5;-4;-1;-1;1;-1;
-5;-4;1;0;-1;-3;-2;-1;
-1;-2;-3;-4;-2;-1;-1;-1;
1;-1;-2;-2;1;-2;-3;-2;
0;-2;-1;-1;-3;-1;-1;1;
4;1;-1;-1;0;-3;-2;-2;
-7;-6;-5;-3;-5;-1;-4;-5;
-2;6;0;2;1;2;3;-1;
0;-2;-2;-2;-1;0;0;-1;
0;1;0;0;0;0;-3;0;
0;1;-4;-8;-3;-1;0;-2;
0;-5;2;-2;-3;-8;-3;0;
-3;0;0;0;-1;1;0;-2;
-2;-3;-1;1;1;3;1;-3;
1;-1;-4;-2;1;4;1;0;
-4;-9;-5;-3;-4;0;-2;-2;
1;0;-3;-3;-1;-2;-1;1;
-2;-1;-1;-2;-4;-3;-3;-4;
1;1;3;3;0;-2;-1;-1;
3;1;-4;-3;0;1;1;0;
-4;-6;-3;-4;0;-1;-2;-2;
-1;0;-2;0;-4;-1;0;-2;
1;0;2;4;-1;-1;-1;-2;
-2;-1;-6;-6;-1;-1;0;-1;
0;1;5;10;2;-2;-1;-1;
-4;-5;-3;-4;-2;-3;-1;0;
1;-5;-9;-6;-3;-3;0;1;
