Año;Mes;Dia; Hora
2020;09;12;17-44-05
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
1;2;10;4;1;0;-2;-1;
-1;-2;-5;-4;-3;-2;0;-3;
0;4;0;-1;-4;1;0;0;
0;-1;-7;0;1;1;-1;0;
-1;1;0;-3;-3;0;0;1;
-1;-4;-3;-1;-2;-4;0;-1;
0;-2;-5;-2;-2;-3;-2;1;
-2;0;2;1;2;0;0;0;
-1;1;-2;2;-1;-1;-1;0;
-1;0;4;3;1;-2;0;-1;
-2;-1;-2;-4;-2;-3;-1;-1;
-1;-2;0;2;0;-1;-1;1;
-2;-3;-7;-4;-2;-2;-3;-2;
0;-1;-4;-3;-1;1;-1;-1;
0;2;4;0;0;2;0;0;
2;-2;-2;-3;-1;-3;0;-2;
-4;-2;-4;-3;-4;-2;-1;-1;
0;1;6;5;2;1;0;-1;
-2;-1;-2;-4;-1;-3;-2;-2;
-3;-4;-5;-4;0;2;0;1;
1;2;5;-3;0;-5;0;1;
-3;-3;-6;-4;-3;0;-2;-2;
1;-2;2;3;0;0;0;1;
-1;-1;-1;-3;0;-1;-1;-2;
1;2;-3;-3;-1;0;-1;0;
1;0;5;2;1;-1;1;-1;
-6;-2;0;0;-1;-2;-1;-1;
-1;-2;-5;-4;-4;-1;-1;0;
0;-3;2;2;-1;-3;1;-1;
-1;-1;-1;0;-1;0;-1;-1;
2;-1;1;-1;-2;0;-2;1;
0;0;-1;-2;-1;-6;-1;-1;
-2;-1;-5;0;0;2;-1;-1;
0;0;-1;-4;-3;-2;-1;0;
-3;-6;0;4;3;-1;0;-4;
0;0;-1;0;1;2;-1;1;
-1;-1;-6;-2;-2;1;0;1;
-1;-1;0;-3;-1;0;0;-1;
0;4;3;4;1;1;-2;1;
-5;-6;1;5;2;1;1;-1;
-3;0;-2;-2;-1;-1;-2;-2;
-2;0;-5;-3;-2;-1;0;0;
0;4;10;5;2;-5;0;-1;
0;-1;-4;-5;-4;1;-1;-2;
-1;1;2;1;-1;0;0;0;
-2;-4;-6;-3;-2;0;2;-2;
1;-1;-7;-2;-2;0;0;-2;
1;4;6;2;2;-1;-1;0;
-1;-3;-5;-4;-1;-6;-1;-4;
-3;-1;0;1;0;-1;-3;0;
-1;-3;-5;-3;-2;2;-2;-2;
-1;-2;-2;-3;-2;-1;0;-2;
0;4;-5;-5;-2;-1;-2;1;
0;-2;-4;0;0;-4;-2;1;
0;-1;0;-3;-3;2;-1;1;
0;0;-4;-4;-2;0;-1;-1;
-2;-4;-7;-5;-1;-3;-2;-1;
-2;1;7;4;2;-1;-1;-1;
0;1;2;-1;0;0;0;2;
-1;-2;-3;-2;-3;2;-2;-1;
2;-1;4;2;-1;-3;0;1;
0;-1;-8;0;-1;1;-1;-3;
-2;-1;1;-2;-3;-4;-2;-2;
0;0;3;1;0;-1;-1;0;
-1;-3;3;-1;0;2;-2;-2;
-2;-5;-5;1;1;-5;0;-2;
0;1;2;-1;-2;0;0;-3;
-4;-4;-7;-2;-2;-3;-2;-1;
-2;-3;-2;-2;-2;0;-2;0;
1;0;3;0;-2;1;-1;-1;
-1;0;-2;-4;-1;-2;-1;-2;
-1;0;5;4;1;2;-2;-1;
0;-1;-1;-2;-4;-2;0;-2;
-3;-3;-2;0;0;4;0;-2;
0;2;3;-3;-2;-2;-1;-2;
-1;-3;0;1;0;0;0;0;
-1;0;-2;-3;-1;-1;0;0;
0;-1;-2;-5;-4;-5;-1;-1;
0;1;0;2;1;2;-2;0;
-1;-1;0;0;2;-1;0;0;
-1;-1;-2;-4;-2;-4;-1;0;
-1;2;1;1;0;1;0;-1;
0;0;-7;-6;-2;1;-1;0;
-1;-4;0;3;0;0;0;-5;
-2;1;1;-2;-1;0;-1;0;
0;-1;2;1;0;-3;0;1;
-1;-2;-4;-1;0;-3;0;-1;
0;2;4;-1;-1;-1;1;-1;
2;-3;-7;-2;-1;1;-1;0;
0;-1;-1;-2;-1;-3;0;-2;
0;-2;5;2;1;-2;-1;-3;
-2;-4;-7;-4;-3;-2;-2;-1;
0;0;1;0;1;-2;-2;-1;
-1;1;2;0;-2;0;0;-1;
-1;0;-4;-2;-4;-4;0;-2;
-2;0;-4;-2;-2;-2;-2;-2;
0;-1;1;-2;-3;0;-2;-1;
-2;-1;-1;1;2;-5;-1;-4;
-1;-1;1;-1;-2;1;0;-2;
3;0;-1;2;0;1;0;0;
-2;-1;-4;1;1;1;0;1;
-2;-1;9;6;2;2;0;-2;
-2;-2;-7;-3;-1;0;-1;-1;
-1;-2;4;-1;-2;-5;0;1;
-1;1;-5;-4;-3;-2;-2;-1;
2;-1;-2;-6;-2;-1;0;1;
2;0;0;1;-2;-4;-1;-1;
1;-3;-8;-3;-2;0;-3;0;
-1;0;8;2;0;3;0;-1;
-4;-5;-10;-7;-4;0;0;1;
-1;-3;-1;0;0;-1;0;-1;
-1;4;4;-2;-1;1;-1;1;
-3;-6;-4;0;-1;-4;-1;-1;
0;0;-3;-2;-1;3;-1;-1;
